Symbol;date time;open;high;low;close;close5;close10;close15;AC;AD;AO;ATR;BEP;BUP;DMK;FORCE;FRACTAL;ICHIMOKU;BWMFI;Momentum_GAP;MA;OsMA;MACD_GAP;OBV;SAR;RSI;RVI;STDDEV;Stochastic_GAP;WPR
XAUUSD_15;2022.11.01 20:15;1646.93000;1646.94300;1646.41600;1646.61200;1647.09600;1649.15400;1644.67800;-0.26984;2122915.04792;-0.98124;1.60007;-1.14662;-0.61962;0.60488;15.41923;0.00000;1648.77200;1.24882;-0.08528;-5.72973;1647.56256;-0.06225;-0.15914;-734902.00000;1651.12800;46.22815;0.02423;1.50149;-3.66759
XAUUSD_15;2022.11.01 20:30;1646.64200;1647.36500;1646.54400;1647.20500;1647.17200;1650.91000;1645.00600;-0.00486;2123106.05036;-0.81104;1.54593;-0.96753;-0.14653;0.59369;15.86669;0.00000;1648.13750;2.62300;-0.21892;-2.71248;1647.68532;-0.15645;-0.17199;-734589.00000;1651.03376;48.52953;-0.07110;1.08385;-7.06257
XAUUSD_15;2022.11.01 20:45;1647.17100;1648.00000;1646.86100;1647.92100;1647.71500;1648.84400;1646.13700;0.22919;2123428.16976;-0.55556;1.53414;-0.70903;0.42997;0.60044;21.31800;0.00000;1648.13750;3.04545;-0.28547;-2.40456;1647.78653;-0.17128;-0.11264;-734215.00000;1650.94140;51.24292;-0.14378;0.98361;12.38275
XAUUSD_15;2022.11.01 22:00;1647.69500;1648.19100;1646.05700;1646.29200;1648.22200;1649.08800;1646.54600;0.23799;2122766.93639;-0.49688;1.59300;-1.33045;0.80355;0.48129;-186.69046;1648.19100;1647.90800;2.51651;-0.29941;-8.50508;1647.83280;-0.12702;-0.16383;-735063.00000;1650.85090;45.38122;-0.16343;0.95814;6.44179
XAUUSD_15;2022.11.01 22:15;1646.28400;1647.27100;1646.25000;1647.04200;1646.92800;1649.78700;1647.18000;0.18803;2122887.69741;-0.47614;1.49800;-1.08810;-0.06710;0.33925;-65.16092;0.00000;1647.25550;4.66210;-0.25918;-3.87815;1647.76923;-0.17265;-0.14176;-734844.00000;1650.65914;48.31277;-0.15567;0.56024;1.12266
XAUUSD_15;2022.11.01 22:30;1647.04000;1647.04000;1646.64300;1646.80100;1646.61200;1647.09600;1649.15400;0.28653;2122854.23646;-0.22674;1.38307;-0.61837;-0.22137;0.38365;-25.77323;0.00000;1647.25550;2.42073;-0.26777;-7.31443;1647.73591;-0.14580;-0.13879;-735008.00000;1650.47506;47.43179;-0.13653;0.57078;-7.24124
XAUUSD_15;2022.11.01 22:45;1646.80300;1647.09100;1646.38500;1646.85000;1647.20500;1647.17200;1650.91000;0.30726;2122919.27895;-0.05476;1.22864;-0.81761;-0.11161;0.37276;-35.29154;0.00000;1647.25550;3.44390;-0.29012;3.69727;1647.74911;-0.13869;-0.12330;-734803.00000;1650.29833;47.64085;-0.10159;0.58072;2.50475
XAUUSD_15;2022.11.01 23:00;1646.85400;1647.83300;1646.44700;1647.42200;1647.92100;1647.71500;1648.84400;0.29618;2123086.52570;0.05659;1.22757;-0.78695;0.59905;0.46065;-74.77038;0.00000;1647.24050;3.37226;-0.05827;8.00927;1647.74098;-0.12014;-0.05705;-734392.00000;1650.12868;50.13388;-0.03673;0.56058;7.22154
XAUUSD_15;2022.11.01 23:15;1647.41800;1647.53400;1647.24500;1647.30500;1646.29200;1648.22200;1649.08800;0.31864;2122934.48418;0.22303;1.12564;0.00090;0.28990;0.55485;4.18000;0.00000;1647.12400;1.11154;-0.03802;-5.07503;1647.65933;-0.05238;-0.01716;-734652.00000;1649.96581;49.61351;-0.01083;0.46324;8.36795
XAUUSD_15;2022.11.01 23:30;1647.30900;1648.21000;1647.02400;1647.80200;1647.04200;1646.92800;1649.78700;0.28450;2123061.76917;0.35516;1.01250;-0.29980;0.88620;0.62611;19.77231;1648.21000;1647.13350;2.90686;-0.03248;9.48211;1647.60511;-0.01074;0.04338;-734244.00000;1649.80946;51.89754;-0.00357;0.52123;12.74220
